age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
29,7,True,True,1,0,0,0,H,4
63,9,False,True,0,0,0,1,H,1
63,9,True,True,0,0,0,1,HWH,2
42,8,True,False,0,0,1,0,HWH,3
69,4,True,True,0,0,1,0,H,3
55,10,False,True,0,0,0,1,HWH,5
57,10,True,True,0,0,0,1,HWH,0
53,5,False,False,0,0,0,1,HOH,6
36,7,False,True,0,0,0,1,HOH,3
33,7,True,True,0,0,0,1,HOH,0
42,8,False,True,0,0,0,1,HWH,5
39,11,True,True,1,0,0,0,HOH,6
39,11,False,True,0,0,0,1,HOH,4
61,6,True,True,0,0,1,0,HOH,0
73,10,False,True,0,1,0,0,HWH,2
70,10,True,True,0,0,0,1,HOH,4
64,6,False,True,0,1,0,0,HWOWH,0
29,5,False,True,0,0,0,1,HOH,1
28,11,True,True,1,0,0,0,H,7
34,11,False,True,0,0,0,1,HWH,5
43,9,False,True,0,0,0,1,HWH,2
43,9,True,True,1,0,0,0,HWH,2
54,10,True,True,0,0,0,1,HOH,3
54,10,False,True,0,0,0,1,HOH,6
23,10,True,False,0,0,0,1,HOH,4
54,11,True,True,0,0,0,1,HOH,4
49,11,False,True,0,0,0,1,HOH,6
51,7,False,False,0,0,0,1,HWOH,5
60,8,True,False,0,0,0,1,H,4
47,9,True,True,0,0,0,1,H,5
44,9,False,False,0,1,0,0,HWH,6
54,8,False,True,0,0,0,1,HWH,7
51,7,False,True,0,0,0,1,H,3
63,2,True,True,0,0,0,1,H,6
38,10,False,True,0,0,0,1,HWH,6
49,10,True,True,0,0,0,1,HWH,0
18,10,True,False,1,0,0,0,H,6
16,10,False,False,1,0,0,0,HOH,4
44,8,True,True,0,0,0,1,HWH,4
46,9,True,True,0,0,0,1,HOH,1
48,9,False,True,0,0,0,1,HOH,2
31,10,True,True,0,0,0,1,H,4
32,10,False,True,1,0,0,0,HWH,5
38,11,False,True,1,0,0,0,HWOWH,5
38,6,False,True,0,0,0,1,H,0
26,9,True,True,0,0,0,1,H,5
25,9,False,True,0,0,0,1,H,0
31,7,False,True,1,0,0,0,HOH,4
51,3,False,False,0,0,0,1,HOH,1
27,3,False,False,1,0,0,0,HOH,5
57,8,True,True,1,0,0,0,HOH,0
45,7,False,True,0,1,0,0,HWH,1
37,6,True,False,0,0,1,0,HWH,5
34,9,False,True,0,0,0,1,HWH,6
33,8,True,True,0,0,1,0,HOH,3
50,8,False,True,0,0,0,1,HOH,0
30,4,True,True,1,0,0,0,HWH,1
41,7,False,True,0,0,0,1,H,6
39,7,True,True,0,0,0,1,H,5
47,10,False,True,1,0,0,0,H,7
41,10,True,True,0,0,0,1,HWH,3
16,10,False,False,1,0,0,0,HOH,0
55,4,True,False,0,0,1,0,HWH,5
36,7,False,True,0,0,0,1,HOH,2
53,8,True,True,0,0,0,1,HOH,2
42,8,False,True,0,0,0,1,HOH,1
50,11,True,True,1,0,0,0,HWH,4
44,7,False,True,0,0,0,1,HWH,4
45,7,True,True,0,0,1,0,HWH,6
56,10,False,False,0,0,0,1,HOWOH,3
59,10,True,False,0,0,1,0,HWH,0
51,5,True,True,1,0,0,0,HWH,1
79,5,True,False,0,0,1,0,HOH,5
52,6,False,True,0,0,0,1,HWOH,2
36,10,False,True,0,0,0,1,HWH,0
43,10,True,True,0,0,0,1,HOH,2
18,10,True,False,1,0,0,0,H,3
62,8,True,True,0,0,0,1,H,1
64,6,True,True,0,0,0,1,HOH,2
25,6,True,True,1,0,0,0,HWH,1
40,10,True,True,0,0,0,1,HOH,6
31,8,False,True,0,0,0,1,HWH,5
33,8,True,True,0,0,0,1,HWH,1
55,6,False,False,0,0,1,0,HWOH,5
61,11,False,True,0,1,0,0,HOH,3
62,11,True,True,0,0,0,1,HWH,5
42,7,True,False,1,0,0,0,HWH,4
40,7,False,True,0,1,0,0,HWH,2
35,3,False,False,0,0,0,1,HOH,4
60,6,True,True,0,0,0,1,H,5
35,8,False,False,1,0,0,0,HOH,6
37,8,True,False,0,0,1,0,HWH,2
23,8,False,True,0,0,0,1,HWH,3
23,8,True,True,0,0,0,1,HWH,5
52,9,True,True,0,0,0,1,HWH,1
24,9,True,True,0,0,0,1,HWH,6
17,9,True,False,0,1,0,0,HOH,2
42,4,True,True,0,0,0,1,HWOH,4
52,11,False,True,0,1,0,0,HOH,4
55,11,True,True,0,0,0,1,HOH,0
22,11,False,True,0,1,0,0,HOH,0
53,6,False,True,0,0,0,1,HOH,3
20,6,False,False,1,0,0,0,H,3
27,10,True,True,0,0,0,1,HOH,0
28,10,False,True,0,0,0,1,HOH,1
66,7,True,True,1,0,0,0,HOH,0
40,3,False,True,0,0,0,1,HWH,4
29,7,False,True,0,1,0,0,HWH,3
30,7,True,True,0,0,0,1,HWH,0
48,2,True,True,0,0,0,1,HWH,6
46,10,False,True,0,0,0,1,HOH,7
48,10,True,True,0,0,0,1,HWH,3
58,11,True,True,0,0,0,1,HOH,3
54,11,False,True,0,0,0,1,HOH,0
36,9,False,False,0,0,0,1,H,0
