aNode_bNode,aNodeLat,aNodeLon,aNodes,active_net,bNodeLat,bNodeLon,bNodes,cycle_speed_m_s,distance,drive_net,drive_speed,drive_speed_m_s,name,oneway,osmid,ref,speed,type,walk_speed_m_s,cycle_time_minutes,walk_time_minutes,drive_time_minutes
6309,42.3276575,-83.0603801,5831137550,True,42.3275802,-83.0604344,5831137549,4.167,9.685364496265853,True,25.0,11.25,[],yes,616822474,[],[],service,1.11,0.03873835891635011,0.14542589333732509,0.014348688142616079
6310,42.3274975,-83.0604639,5831137552,True,42.3275842,-83.0605477,5831137553,4.167,11.849010001430093,True,25.0,11.25,[],yes,616822475,[],[],service,1.11,0.04739224862583031,0.17791306308453592,0.017554088891007548
6311,42.3274558,-83.0604300,5831137551,True,42.3274975,-83.0604639,5831137552,4.167,5.409860498675783,True,25.0,11.25,[],yes,616822475,[],[],service,1.11,0.021637710977824905,0.08122913661675349,0.008014608146186344
6312,42.3274065,-83.0603681,5831137544,True,42.3274558,-83.0604300,5831137551,4.167,7.479676818439885,True,25.0,11.25,[],yes,616822475,[],[],service,1.11,0.02991631396864205,0.11230745973633459,0.011081002693985015
6313,42.3276575,-83.0603801,5831137550,True,42.3275842,-83.0605477,5831137553,4.167,16.008218882460596,True,25.0,11.25,[],[],616822476,[],[],service,1.11,0.06402775330957762,0.24036364688379272,0.02371587982586755
6314,42.3279770,-83.0596355,5831137554,True,42.3276575,-83.0603801,5831137550,4.167,70.77406683321051,True,25.0,11.25,[],[],616822476,[],[],service,1.11,0.2830736214431266,1.0626736761743318,0.10485046938253409
6315,42.3281370,-83.0597611,5831137557,True,42.3279770,-83.0596355,5831137554,4.167,20.570245543733996,True,25.0,11.25,[],[],616822476,[],[],service,1.11,0.08227440022291815,0.3088625457017116,0.030474437842568883
6316,42.3282791,-83.0598725,5831137559,True,42.3281370,-83.0597611,5831137557,4.167,18.26281375911949,True,25.0,11.25,[],[],616822476,[],[],service,1.11,0.07304541140356567,0.2742164228096019,0.027056020383880722
6317,42.3284198,-83.0599814,5831137555,True,42.3282791,-83.0598725,5831137559,4.167,18.025338309229127,True,25.0,11.25,[],[],616822476,[],[],service,1.11,0.0720955855900693,0.2706507253638007,0.02670420490256167
6318,42.3280310,-83.0609000,5831137540,True,42.3284198,-83.0599814,5831137555,4.167,87.0145647310354,True,25.0,11.25,[],[],616822476,[],[],service,1.11,0.3480304164908224,1.3065249959614924,0.1289104662682006
6319,42.3278910,-83.0607916,5831137558,True,42.3280310,-83.0609000,5831137540,4.167,17.937393821935462,True,25.0,11.25,[],[],616822476,[],[],service,1.11,0.07174383578087938,0.2693302375665985,0.026573916773237723
