"","P000","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","id","cluster","cluster_name"
"198","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H",198,1,"9-to-5ers"
"199","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",199,0,"Homemakers"
"200","H","H","H","H","H","H","H","H","H","H","H","C","C","C","H","H","H","H","H","H","W","W","W","W",200,0,"Homemakers"
"201","H","H","H","H","H","H","H","H","H","S","H","H","H","H","H","W","W","W","W","W","W","W","H","H",201,3,"Night-shifters"
"202","H","H","H","H","H","H","H","H","H","S","H","H","H","H","V","V","V","V","H","H","H","H","H","H",202,4,"Socialites"
"203","H","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","H","H","H","H",203,1,"9-to-5ers"
"204","H","H","H","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","H","V","V","V","H","H",204,1,"9-to-5ers"
"205","H","H","H","H","H","H","H","H","X","X","H","W","W","W","W","H","H","H","H","H","H","H","H","H",205,5,"Work-Life Balancers"
"206","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","R","R","R","H","H","H","H","H","H",206,2,"Afternoon Adventurers"
"207","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","X","X","G","H","H","H","H","H",207,1,"9-to-5ers"
"208","H","H","H","H","H","H","H","H","W","W","W","W","W","W","H","H","H","H","H","H","H","H","H","H",208,5,"Work-Life Balancers"
